card,1.0019,0.6312
card,1.0006,0.6317
card,0.9749,0.6399
card,0.9718,0.6357
card,0.9828,0.6328
card,0.9827,0.6327
ring,0.4508,0.8855
ring,0.4481,0.9309
ring,0.4638,0.9394
ring,0.3614,0.9252
ring,0.4763,0.9033
ring,0.5513,0.8831
flashdrive,1.0272,0.4361
flashdrive,1.0164,0.4114
flashdrive,1.0185,0.4003
flashdrive,1.0152,0.4312
flashdrive,1.0132,0.4073
flashdrive,1.0221,0.4243
pen,0.9803,0.0818
pen,0.9741,0.0691
pen,0.9691,0.0593
pen,0.9677,0.0596
pen,0.9717,0.0564
pen,0.9638,0.0739
case,1.0375,0.7469
case,1.0378,0.7678
case,1.0385,0.7553
case,1.0387,0.7206
case,1.0376,0.7560
case,1.0383,0.7379
clip,0.3340,0.5480
clip,0.3580,0.5847
clip,0.3234,0.4510
clip,0.3747,0.5571
clip,0.2982,0.5030
clip,0.3060,0.4980
tape,0.1134,0.9520
tape,0.1131,0.9520
tape,0.1128,0.9525
tape,0.1032,0.9613
tape,0.1144,0.9758
tape,0.1143,0.9718
